Cim,Szerzo,Megjegyzes
Filosofia sociala ?i politica a neoconservatorismului,Ovidiu Trasnea,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 19-ik könyv
Vezetés - Szervezés II.,Budapesti Közgazdaságtudományi Egyetem,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 2-ik könyv
Szoba kiadó,Ferencz Zsuzsanna,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 20-ik könyv
Economia româneasca de la fic?iune la realitate,N.S. Stanescu,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 21-ik könyv
NATO kézikönyv,Névtelen,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 22-ik könyv
Feketepiac és hamis pénz a Harmadik birodalomban,Jacques de Launay,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 23-ik könyv
Vîrstele peliculei,Tudor Caranfil,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 24-ik könyv
"""Cartoful, banalitate sau miracol""",Titus Catelly,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 25-ik könyv
Sa ie?im din epoca risipei,D. Gabor,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 26-ik könyv
Primele trei minute ale universului,Steven Weiberg,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 27-ik könyv
?tii?a economica ?i interesul public,John Kenneth Galbraith,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 28-ik könyv
"""Hrana pentru ?ase militare, conferin?a a Clubului de la Roma""",Névtelen,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 29-ik könyv
"""A munkagazdaságtan alapjai I, II, III füíet""",Budapesti Közgazdaságtudományi Egyetem,"""Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 3,  4, 5-ik könyv"""
Un posibil raspuns la dilemele dezvoltarii,Maria D. Popescu,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 30-ik könyv
"""Creierul lui Broca, de la Pamânt la stele""",Carl Sagan,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 31-ik könyv
"""Megatendin?e, zece noi direc?ii care ne transforma via?a""",John Naisbitt,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 32-ik könyv
"""Yesterday, Az Oroszlán hava és egyébb történetek""",Mózes Attila,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 33-ik könyv
Három a tánc,Szabó Gyula,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 34-ik könyv
Az öreg halász és a tenger/ Elbeszélések,Ernest Hemingway,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 35-ik könyv
Száll a kakukk fészkére,Ken Kesey,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 36-ik könyv
A tragikum tragédiája,Biró Béla,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 37-ik könyv
Az élet principiuma,Dr. Gánti Tibor,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 38-ik könyv
Európai illemtan,Pintér Emil,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 39-ik könyv
Productivtatea muncii în indrustrie,Barbu Gh. Petrescu,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 40-ik könyv
Pénzügyi számítások,Meszéna György,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 6-ik könyv
A lakossági megtakarítások portfoliószerkezete,Ábel István,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 7-ik könyv
Tiszta beszéd,Montágh Imre,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 8-ik könyv
"""Revista româna de drepturile omului (apr., mai, iun. 1996)""",Névtelen,Hálószóba/ 6-ik szekrény/ 3-ik polc hátul/ 9-ik könyv
Az országépíto,Kós Károly,Hálószóba/ 6-os szekrény/ 2-es polc/ 23 és 25-ik könyv
"""Perzsák, A szuzai mennyegzo""",Süto András,Hálószóba/ 6-os szekrény/ 2-es polc/ 17-ik könyv
Emlékeim,Dovtojevszkaja,Hálószoba/ 6-os szekrény/ 3-as polc/ 13-dik könyv
Bun és búnhödés,Dosztojevszkij,Hálószoba/ 6-os szekrény/ 1-es polc/ 3-ik könyv
Várakozás a tavaszban,Csoóri Sándor,Hálószoba/ 6-os szekrény/ 3-as polc/ 15-dik könyv
Egri csillagok,Gárdonyi Géza,Hálószoba/ 5-ös szekrény/ 3-as polc/ 22-ik könyv
Hármaskönyv,Kós Károly,Hálószóba/ 6-os szekrény/ 2-es polc/ 22 és 31-ik könyv
Életrajz,Kós Károly,Hálószóba/ 6-os szekrény/ 2-es polc/ 21-ik könyv
Varju nemzetség,Kós Károly,Hálószóba/ 6-os szekrény/ 2-es polc/ 20-ik könyv
Szemet szóért,Süto András,Hálószóba/ 6-os szekrény/ 2-es polc/ 19-ik könyv
Heródes napjai,Süto András,Hálószóba/ 6-os szekrény/ 2-es polc/ 18-ik könyv
Három dráma,Süto András,Hálószóba/ 6-os szekrény/ 2-es polc/ 16-ik könyv
A lott lábú madár nyomában,Süto András,Hálószóba/ 6-os szekrény/ 2-es polc/ 15-ik könyv
Válogatott versei,Tóth Árpád,Hálószoba/ kicsi szekrény/ 1-es polc/ elso könyv
Szomorú napok,Jókai Mór,Hálószoba/ kicsi szekrény/ 1-es polc/ 10-dik könyv
A mennyei profécia,James Redfield,Hálószoba/ kicsi szekrény/ 1-es polc/ 11-dik könyv
A Tizedik Felismerés,James Redfield,Hálószoba/ kicsi szekrény/ 1-es polc/ 12-dik könyv
Shambhala titka,James Redfield,Hálószoba/ kicsi szekrény/ 1-es polc/ 13-dik könyv
"""Tiszt úr, a kezem...""",Balogh László,Hálószoba/ kicsi szekrény/ 1-es polc/ 14-dik könyv
"""A háború katonái, hadnagyok""",W.E:b: Griffin,Hálószoba/ kicsi szekrény/ 1-es polc/ 15-dik könyv
Thérese Etienne,John Knittel,Hálószoba/ kicsi szekrény/ 1-es polc/ 16-dik könyv
Drum in noapte,John Knittel,Hálószoba/ kicsi szekrény/ 1-es polc/ 17-dik könyv
Opiniile unui ?aranist,Alexandru Tariuc,Hálószoba/ kicsi szekrény/ 1-es polc/ 18-dik könyv
Corijent la cele sfinte,Mircea Dinescu,Hálószoba/ kicsi szekrény/ 1-es polc/ 19-dik könyv
Válogatott versei,Balassi Bálint,Hálószoba/ kicsi szekrény/ 1-es polc/ 2-dik könyv
Sînt o baba comunista!,Dan Lungu,Hálószoba/ kicsi szekrény/ 1-es polc/ 20-dik könyv
Ghidul lene?ului,Tom HodgKinson,Hálószoba/ kicsi szekrény/ 1-es polc/ 21-dik könyv
Gyulölet nincs csak fájdalom,Incze Pál,Hálószoba/ kicsi szekrény/ 1-es polc/ 22-dik könyv
Akciómuvészet Székelyföldön,Üto Gustáv,Hálószoba/ kicsi szekrény/ 1-es polc/ 23-dik könyv
Híres asszonyok kislexikona,Veresegyháziné Kovács Jolán,Hálószoba/ kicsi szekrény/ 1-es polc/ 3-dik könyv
Válogatott versei,Ady Endre,Hálószoba/ kicsi szekrény/ 1-es polc/ 4-dik könyv
Erzsébet királyné magánélete,Steve Norling,Hálószoba/ kicsi szekrény/ 1-es polc/ 6-dik könyv
Jeanne dArc,Mark Twain,Hálószoba/ kicsi szekrény/ 1-es polc/ 7-dik könyv
Rab Ráby,Jókai Mór,Hálószoba/ kicsi szekrény/ 1-es polc/ 9-dik könyv
Szüloi hivatás,Dr. Ross Campbell,Hálószoba/ kicsi szekrény/ 2-es polc/ elso könyv
Nagy magyarok élete II.,Benedek Elek,Hálószoba/ kicsi szekrény/ 2-es polc/ 10 és 11-dik könyv
Kétely és kisérlet,Rostás Zoltán,Hálószoba/ kicsi szekrény/ 2-es polc/ 12-dik könyv
KI a sánc alól,Nagy István,Hálószoba/ kicsi szekrény/ 2-es polc/ 13-dik könyv
Változatok egy témára,Mikó Imre,Hálószoba/ kicsi szekrény/ 2-es polc/ 15-dik könyv
Függojátszmák,Panek Zoltán,Hálószoba/ kicsi szekrény/ 2-es polc/ 16-dik könyv
"""Tuzijáték román szatirikus-humoros írások""",Névtelen,Hálószoba/ kicsi szekrény/ 2-es polc/ 17-dik könyv
Emlékezés egy süvölvényre,Szemlér Ferenc,Hálószoba/ kicsi szekrény/ 2-es polc/ 18-dik könyv
Közvetíto,Lorinczi László,Hálószoba/ kicsi szekrény/ 2-es polc/ 19-dik könyv
Jelentések a határon túli magyar kisebbség helyzetérol,Névtelen,Hálószoba/ kicsi szekrény/ 2-es polc/ 2-dik könyv
Régi magyar nyelvemlékek,Dömötör Andrien,Hálószoba/ kicsi szekrény/ 2-es polc/ 20-dik könyv
Prajiturile de buzunar,Horia Kraus,Hálószoba/ kicsi szekrény/ 2-es polc/ 21-dik könyv
Emberarcok (novellák),Kovács György,Hálószoba/ kicsi szekrény/ 2-es polc/ 3-dik könyv
A holdbeli pásztor,Lászlóffy Aladár,Hálószoba/ kicsi szekrény/ 2-es polc/ 4-dik könyv
Örömvirág (novellák),Fülöp Miklós,Hálószoba/ kicsi szekrény/ 2-es polc/ 5-dik könyv
Sziklás parton (válogatott versek),Tóth István,Hálószoba/ kicsi szekrény/ 2-es polc/ 6-dik könyv
Égi úton,Ábrahám János,Hálószoba/ kicsi szekrény/ 2-es polc/ 7-dik könyv
Otthonképlet,Illés Mihály,Hálószoba/ kicsi szekrény/ 2-es polc/ 8-dik könyv
Visszajátszás,Rostás Zoltán,Hálószoba/ kicsi szekrény/ 2-es polc/ 9-dik könyv
A futball képes enciklopédiája,Chris Hunt,Kolozsvár
Én és a madaraim,David Alderton,Kolozsvár
Mire a fák megnonek,Wass Albert,Kolozsvár
Az igazi,Márai Sándor,Hálószoba/ 3-as szekrény/ 2-es polc/ 52-ik könyv
"""Futball, család,  hírnév""",David Beckham,Kolozsvár
Focisuli,David Beckham,Kolozsvár
Fizika,Holics László,Kolozsvár
"""Sakk, a sikeres játékos kiskátéja""",James Eade,Kolozsvár
Informatika ábécé,Lukács Sándor,Kolozsvár
Hogyan vizsgázz sikeresen?,Mike Evans,Kolozsvár
A Manchester United 50 legjobb futballistája,Moncz Attila,Kolozsvár
501 gitár akkord,Phil Capone,Kolozsvár
A sivatag szelleme,Karl May,Nappali/ 1-es szekrén/ 1-es polc/ 10-dik könyv
Rubens,Donald Braider,Nappali/ 1-es szekrény/ 1-es polc/ elso könyv
Aidától Zerlináig,Kertész Iván,Nappali/ 1-es szekrény/ 1-es polc/ 11-dik könyv
Abigél,Szabó Magda,Nappali/ 1-es szekrény/ 1-es polc/ 12-dik könyv
Összes versei,Francois Villon,Nappali/ 1-es szekrény/ 1-es polc/ 13-dik könyv
Daloskönyv,Francesco Petrarca,Nappali/ 1-es szekrény/ 1-es polc/ 14-dik könyv
Jone Eyre,Charlotte Brote,Nappali/ 1-es szekrény/ 1-es polc/ 15-dik könyv
Összes Versei,József Attila,Nappali/ 1-es szekrény/ 1-es polc/ 16-dik könyv
Szakadékban,Csehov,Nappali/ 1-es szekrény/ 1-es polc/ 17-dik könyv
Körösi Csoma Sándor élete nyomában,Szilágyi Ferenc,Nappali/ 1-es szekrény/ 1-es polc/ 19-dik könyv
Öseik kertje Erdély,Cseres Tibor,Nappali/ 1-es szekrény/ 1-es polc/ 2-dik könyv
Hat színmu,Moliere,Nappali/ 1-es szekrény/ 1-es polc/ 20-dik könyv
Egy tiszta no,Thomas Handy,Nappali/ 1-es szekrény/ 1-es polc/ 21-dik könyv
Álarcosbál,Szabó Magda,Nappali/ 1-es szekrény/ 1-es polc/ 22-dik könyv
Mondják meg Zsófikának,Szabó Magda,Nappali/ 1-es szekrény/ 1-es polc/ 23-dik könyv
"""Alvók futása, Zeusz küszöbén""",Szabó Magda,Nappali/ 1-es szekrény/ 1-es polc/ 24-dik könyv
Megmaradt Szabotkának,Szabó Magda,Nappali/ 1-es szekrény/ 1-es polc/ 25-dik könyv
Omló egek alatt,Süto András,Nappali/ 1-es szekrény/ 1-es polc/ 26-dik könyv
Hozomány,Szilágyi Lajos,Nappali/ 1-es szekrény/ 1-es polc/ 27-dik könyv
Sátoron  az ég,Dallas Sándor,Nappali/ 1-es szekrény/ 1-es polc/ 28-dik könyv
1848-49 dokumentumaiból,Névtelen,Nappali/ 1-es szekrény/ 1-es polc/ 29-dik könyv
"""János vitéz, Helység kalapácsa""",Petofi Sándor,Nappali/ 1-es szekrény/ 1-es polc/ 3-dik könyv
Száll a Tavasz,Radnóti Miklós,Nappali/ 1-es szekrény/ 1-es polc/ 30-dik könyv
Rigó temetés,Jékely Zoltán,Nappali/ 1-es szekrény/ 1-es polc/ 31-dik könyv
Székely János történelmi drámái,Éger Veronika,Nappali/ 1-es szekrény/ 1-es polc/ 32-dik könyv
Dzsida Jeno költészete,Láng Gusztáv,Nappali/ 1-es szekrény/ 1-es polc/ 33-dik könyv
Nagy Lajos király,Bertényi Iván,Nappali/ 1-es szekrény/ 1-es polc/ 34-dik könyv
Utazások nagynénémmel,Graham Greene,Nappali/ 1-es szekrény/ 1-es polc/ 35-dik könyv
Monsignor Quvote,Graham Greene,Nappali/ 1-es szekrény/ 1-es polc/ 36-dik könyv
A kezdet és a vég,Graham Greene,Nappali/ 1-es szekrény/ 1-es polc/ 37-dik könyv
A láthatatlan ember,Gárdonyi Géza,Nappali/ 1-es szekrény/ 1-es polc/ 38-dik könyv
Mária Terézia és kora,Mosczali Hanrich,Nappali/ 1-es szekrény/ 1-es polc/ 39-dik könyv
"""Istenek, mumiák, hetérák""",Helmut Wolle,Nappali/ 1-es szekrény/ 1-es polc/ 4-dik könyv
Magyar várak regéi,Mikszáth Kálmán,Nappali/ 1-es szekrény/ 1-es polc/ 40-dik könyv
A földgömb,Szántó György,Nappali/ 1-es szekrény/ 1-es polc/ 5-dik könyv
Stradivari,Szántó György,Nappali/ 1-es szekrény/ 1-es polc/ 6-dik könyv
Három király,Krúdy Gyula,Nappali/ 1-es szekrény/ 1-es polc/ 7-dik könyv
Zokogó majom,Bálint Tibor,Nappali/ 1-es szekrény/ 1-es polc/ 8-dik könyv
Ko hull apadó kútba,Szilágyi Isván,Nappali/ 1-es szekrény/ 1-es polc/ 9-dik könyv
A Murphy szülok szextörvénykönyve,Bruce Lasky,Nappali/ 1-es szekrény/ 2-es polc/elso könyv
Tengeri farkas,Jack London,Nappali/ 1-es szekrény/ 2-es polc/ 10-dik könyv
Olvassunk együtt,Markó Béla,Nappali/ 1-es szekrény/ 2-es polc/ 11-dik könyv
Rövidfilm esovel,Kozma Mária,Nappali/ 1-es szekrény/ 2-es polc/ 12-dik könyv
Az igéret földjén,Fodor Sándor,Nappali/ 1-es szekrény/ 2-es polc/ 13-dik könyv
Az ellopott futár,Rejto Jeno,Nappali/ 1-es szekrény/ 2-es polc/ 14-dik könyv
Mathias Rex,Harsányi Zsolt,Nappali/ 1-es szekrény/ 2-es polc/ 15-dik könyv
Szololugas,Kriszten György,"""Nappali/ 1-es szekrény/ 2-es polc/ 16-dik könyv"
Szépen gondolj rám,Kolozsvári Grandpierre Emil,Nappali/ 1-es szekrény/ 2-es polc/ 17-dik könyv
A megfigyelo,Szász Géza,Nappali/ 1-es szekrény/ 2-es polc/ 18-dik könyv
Hullólevelek vére,Névtelen,Nappali/ 1-es szekrény/ 2-es polc/ 19-dik könyv
Álruhában,Csere Gábor,Nappali/ 1-es szekrény/ 2-es polc/ 2-dik könyv
Farkasember,Werner Freund,Nappali/ 1-es szekrény/ 2-es polc/ 20-dik könyv
Határontuli magyar helységnév szótár,Névtelen,Nappali/ 1-es szekrény/ 2-es polc/ 21-dik könyv
Ott túl a rácson,Palugyai István,Nappali/ 1-es szekrény/ 2-es polc/ 22-dik könyv
Egyiptomi fáraók,Névtelen,Nappali/ 1-es szekrény/ 2-es polc/ 23-dik könyv
Egy az Isten,Jókai Mór,Nappali/ 1-es szekrény/ 2-es polc/ 24-dik könyv
Dilettánsok utazása,Bulat Okadzsva,Nappali/ 1-es szekrény/ 2-es polc/ 25-dik könyv
A kaméliás hölgy,Alexandre Dumas,Nappali/ 1-es szekrény/ 2-es polc/ 26-dik könyv
Pilátus,Szabó Magda,Nappali/ 1-es szekrény/ 2-es polc/ 27-dik könyv
A kölcsönkért gyufa,Maiju Lassittz,Nappali/ 1-es szekrény/ 2-es polc/ 28-dik könyv
Forró mezok,Móricz Zsigmond,Nappali/ 1-es szekrény/ 2-es polc/ 29-dik könyv
"""Okos nok ostoba választások""",Gomel Coven,Nappali/ 1-es szekrény/ 2-es polc/ 3-dik könyv
Kakasmintás törülközo,Mihail Bulgakov,Nappali/ 1-es szekrény/ 2-es polc/ 30-dik könyv
Effi Briest,Theodore Fontane,Nappali/ 1-es szekrény/ 2-es polc/ 31-dik könyv
Maisie tudja,Henry James,Nappali/ 1-es szekrény/ 2-es polc/ 32-dik könyv
A gólyakalifa,Babits Mihály,Nappali/ 1-es szekrény/ 2-es polc/ 33-dik könyv
Az égo csipkebokor,Borisz Vasiljev,Nappali/ 1-es szekrény/ 2-es polc/ 34-dik könyv
Büszkeség és balitélet,Jane Austen,Nappali/ 1-es szekrény/ 2-es polc/ 35-dik könyv
Meggyözo érvek,Jane Austen,Nappali/ 1-es szekrény/ 2-es polc/ 36-dik könyv
Koldus és királyfi,Mark Twain,Nappali/ 1-es szekrény/ 2-es polc/ 37-dik könyv
Kolozsvári milliomosok,Méhes György,Nappali/ 1-es szekrény/ 2-es polc/ 38-dik könyv
Magyarok csillaga,Makkai Sándor,"""Nappali/ 1-es szekrény/ 2-es polc/ 39-dik könyv"
A babiloni karperec,Kopacz Mária,Nappali/ 1-es szekrény/ 2-es polc/ 4-dik könyv
Jézus élete,Ellen G. White,Nappali/ 1-es szekrény/ 2-es polc/ 40-dik könyv
Válogatott kisebb munkái,Boross Mihály,Nappali/ 1-es szekrény/ 2-es polc/ 43-dik könyv
Vezeto a dési múzeumok kiálításaihoz,Névtelen,Nappali/ 1-es szekrény/ 2-es polc/ 5-dik könyv
Állati elmék,Robert Merle,Nappali/ 1-es szekrény/ 2-es polc/ 6-dik könyv
Megszépült szegénység,Kocsis Rózsi,Nappali/ 1-es szekrény/ 2-es polc/ 7-dik könyv
A huség könyve,Bíró András,Nappali/ 1-es szekrény/ 2-es polc/ 8-dik könyv
A vadon szava,Jack London,Nappali/ 1-es szekrény/ 2-es polc/ 9-dik könyv
Remekmuvek a 19.század magyar fejtményeibol,Névtelen,Nappali/ 2-es szekrény/ 1-es polc/ elso könyv
Kós Károly képeskönyv,Sas Péter,Nappali/ 2-es szekrény/ 1-es polc/ 10-dik könyv
Kalotaszeg népi építészete,Furu Árpád,Nappali/ 2-es szekrény/ 1-es polc/ 11-dik könyv és Hálószoba/ 2-es szekrény/ 2-es polc/ 4-dik könyv
Antoni Gaudi,Maria Grippa,Nappali/ 2-es szekrény/ 1-es polc/ 12-dik könyv
Belmondo,Philippe Durast,Nappali/ 2-es szekrény/ 1-es polc/ 13-dik könyv
Ezeregyéj legszebb meséi,Névtelen,Nappali/ 2-es szekrény/ 1-es polc/ 14-dik könyv
Kuriák földje Háromszék,Névtelen,Nappali/ 2-es szekrény/ 1-es polc/ 16-dik könyv
Atlasul Romei antice,Névtelen,Nappali/ 2-es szekrény/ 1-es polc/ 17-dik könyv
Atlasul locurile misterioase,Névtelen,Nappali/ 2-es szekrény/ 1-es polc/ 18-dik könyv
Hullámok,Virginia Woolf,Nappali/ 2-es szekrény/ 1-es polc/ 19-dik könyv
Össes versei,Petofi Sándor,Nappali/ 2-es szekrény/ 1-es polc/ 2-dik könyv
Orlando,Virginia Woolf,Nappali/ 2-es szekrény/ 1-es polc/ 20-dik könyv
Thyl Ulenspiegel,De Cartes,Nappali/ 2-es szekrény/ 1-es polc/ 21-dik könyv
Svejk,Jaroslav Hasek,Nappali/ 2-es szekrény/ 1-es polc/ 22-dik könyv
Az évszázadnál hosszabb ez a nap,Csingiz Ajtmatov,Nappali/ 2-es szekrény/ 1-es polc/ 23-dik könyv
Wolf salent,John Cowper Powy,Nappali/ 2-es szekrény/ 1-es polc/ 24-dik könyv
Gilgames,Névtelen,Nappali/ 2-es szekrény/ 1-es polc/ 25-dik könyv
Bádogdob,Günter Grass,Nappali/ 2-es szekrény/ 1-es polc/ 26-dik könyv
Isteni színjáték,Dante Alighieri,"""Nappali/ 2-es szekrény/ 1-es polc/ 27-dik könyv és Gyerekszoba/ 4-es szekrény/ 2-es polc/ 6-dik könyv"""
"""A sátán Gorajban, A rabszolga""",I.B Singer,Nappali/ 2-es szekrény/ 1-es polc/ 28-dik könyv
Arszenyev élete,Ivan Bugin,Nappali/ 2-es szekrény/ 1-es polc/ 29-dik könyv
Fényhozok,Sajnovits,Nappali/ 2-es szekrény/ 1-es polc/ 3-dik könyv
Henry Esmondt töténete,W. M. Thackerry,Nappali/ 2-es szekrény/ 1-es polc/ 30-dik könyv
Az artamonovok,Makszin Gorkij,Nappali/ 2-es szekrény/ 1-es polc/ 31-dik könyv
Szivárvány,D. H Lawrance,Nappali/ 2-es szekrény/ 1-es polc/ 32-dik könyv
A jegyesek,Alekszandro Massoni,Nappali/ 2-es szekrény/ 1-es polc/ 33-dik könyv
Vörös és fehér,Stendal,Nappali/ 2-es szekrény/ 1-es polc/ 34-dik könyv
Gonsuelo,Geoge Sand,Nappali/ 2-es szekrény/ 1-es polc/ 35-dik könyv
Michelangelo,Sindney Alexander,Nappali/ 2-es szekrény/ 1-es polc/ 36-dik könyv
Calatorie in Italia,Gautier,Nappali/ 2-es szekrény/ 1-es polc/ 37-dik könyv
Calatorie in Spania,Gautier,Nappali/ 2-es szekrény/ 1-es polc/ 38-dik könyv
Rinl,Victor Hugo,Nappali/ 2-es szekrény/ 1-es polc/ 39-dik könyv
Magyar kastélyok,Dercsényi,Nappali/ 2-es szekrény/ 1-es polc/ 4-dik könyv
Hajnali eso,Vaszilij Suksin,Nappali/ 2-es szekrény/ 1-es polc/ 40-dik könyv
Bekehozó Helbert,Alexay Zoltán,Nappali/ 2-es szekrény/ 1-es polc/ 41-dik könyv
A karamazov testvérek,Dosztojevszkij,Nappali/ 2-es szekrény/ 1-es polc/ 42-dik könyv
A Forsyte-Saga,John Galsworty,Nappali/ 2-es szekrény/ 1-es polc/ 43-dik könyv
Modern komédia,John Galsworty,Nappali/ 2-es szekrény/ 1-es polc/ 44-dik könyv
Anna Karenina,Lev Tolsztoj,Nappali/ 2-es szekrény/ 1-es polc/ 45-dik könyv
Iliász,Homérosz,Nappali/ 2-es szekrény/ 1-es polc/ 46-dik könyv
Boszorkány tánc,Barát Endre,Nappali/ 2-es szekrény/ 1-es polc/ 47-dik könyv
Erdélyi Magyar breviárium,Czirják Árpád,Nappali/ 2-es szekrény/ 1-es polc/ 48-dik könyv
Magyar rapszódia,Harsányi Zsolt,Nappali/ 2-es szekrény/ 1-es polc/ 49-dik könyv
Kidolt a kereszt,Kós Károly,Nappali/ 2-es szekrény/ 1-es polc/ 5-dik könyv
Erdély építészete a 14-16 században,Eutz Géza,Nappali/ 2-es szekrény/ 1-es polc/ 50-dik könyv
Erdély építészete a 11-13 században,Eutz Géza,Nappali/ 2-es szekrény/ 1-es polc/ 51-dik könyv
A párizsi Notre-Dame,Victor Hugo,Nappali/ 2-es szekrény/ 1-es polc/ 6-dik könyv
Sepsiszentgyörgyi város kalauz,Névtelen,Nappali/ 2-es szekrény/ 1-es polc/ 8-dik könyv
Gróf Károlyi család,Névtelen,Nappali/ 2-es szekrény/ 1-es polc/ 9-dik könyv
Drept minoritar,Frunda György,Nappali/ 2-es szekrény/ 2-es polc/ elso könyv
Régi tárgyak vonzásában,Szucs Eszter,Nappali/ 2-es szekrény/ 2-es polc/ 10-dik könyv
A lakás romantikája,Bán András,Nappali/ 2-es szekrény/ 2-es polc/ 11-dik könyv
Falusi hangulatban,Torday Aliz,Nappali/ 2-es szekrény/ 2-es polc/ 12-dik könyv
Pécs,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 13-dik könyv
Nyugat kapujában,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 14-dik könyv
Gyor,Winkler Gábor,Nappali/ 2-es szekrény/ 2-es polc/ 15-dik könyv
Sopron,Duics Pál,Nappali/ 2-es szekrény/ 2-es polc/ 16-dik könyv
Az országház,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 17-dik könyv
A világ építészete,Nigel Hawkes,Nappali/ 2-es szekrény/ 2-es polc/ 18-dik könyv
A világ építészeti remekmuveinek atlasza,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 19-dik könyv
Anna Örök,Juhász Gyula,Nappali/ 2-es szekrény/ 2-es polc/ 2-dik könyv
Ars hungarica,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 20-dik könyv
A világ száz csodája,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 21-dik könyv
Our Lovely Croatia,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 22-dik könyv
Thailand 1946-1996,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 23-dik könyv
Nézd elméjöket az ács embereknek,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 24-dik könyv
A kunyhótól a felhokarcolóig,Kleineisel János,Nappali/ 2-es szekrény/ 2-es polc/ 25-dik könyv
Megszentelt kövek,Lestyán Ferenc,Nappali/ 2-es szekrény/ 2-es polc/ 26-dik könyv
Contemporary european architects,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 27-dik könyv
Budapesti töténeti múzeum,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 28-dik könyv
Somogy megye,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 29-dik könyv
A kolozsvári farkas utcai templom címerei,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 3-dik könyv
"""Erdély, Székeltföld, Gyergyó és vidéke""",Lowey Lilla,Nappali/ 2-es szekrény/ 2-es polc/ 30-dik könyv
"""Erdély, Közép-és Felcsík""",Lowey Lilla,Nappali/ 2-es szekrény/ 2-es polc/ 31-dik könyv
A magyar századforduló 1896-1914,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 32-dik könyv
A kárpát medence várai,Szabóky Zsolt,Nappali/ 2-es szekrény/ 2-es polc/ 33-dik könyv
Erdélyi magyarság antológia,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 34-dik könyv
Costanta,Mihail Serbeanu,Nappali/ 2-es szekrény/ 2-es polc/ 35-dik könyv
Bucovina,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 36-dik könyv
Jerusalem,Moshe Milner,Nappali/ 2-es szekrény/ 2-es polc/ 37-dik könyv
Szobanövények,Hessayon,Nappali/ 2-es szekrény/ 2-es polc/ 4-dik könyv
Calatis,Valeria Georgescu,Nappali/ 2-es szekrény/ 2-es polc/ 5-dik könyv
Gyor-Moson-Sopron megye vendégváró,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 6-dik könyv
20. századi magyar festészet és szobrászat,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 7-dik könyv
Les Miniatures sur laque ruses,Névtelen,Nappali/ 2-es szekrény/ 2-es polc/ 8-dik könyv
Zöldben kinn és benn,Torday Aliz,Nappali/ 2-es szekrény/ 2-es polc/ 9-dik könyv
Les catedrales du Jeu,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ elso könyv
Les Maitres de la peinture mondiale,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 10-dik könyv
Art et architecture Leningrad,Névtelen,Nappali/ 2-es szekrény/ 3-as polc/ 11-dik könyv
Auf den ersten Blick,Herford,Nappali/ 2-es szekrény/ 3-as polc/ 12-dik könyv
Acropole,Albert Thibaudet,Nappali/ 2-es szekrény/ 3-as polc/ 13-dik könyv
